KF_Time;KF_States;KF_Covariance;
1527252288331273583;  4.45568535117416   0.42394469965279   14.9154835651836   2.61862028042614  0.247326520683356 0.0043853225441387    7.4652338153854    1.1713650230071   42.0890429607889;0.0642831338445144 0.0642831463546262 0.0523177033826113 0.0514157738969433 0.0514157689281238 0.0534919428904467 0.0248825663010216 0.0248825765330812  0.333735497863032;
1527252288432379395;   4.40551862993865   0.433160751342215    14.9184203268584    2.61998005001473   0.245678163853189 0.00476991644591183    7.46979749558214    1.17175268324266    42.0909886685945;0.0675365088246995  0.067536522074336 0.0563965152257707 0.0527537457372255 0.0527537363378403 0.0565339667676019 0.0249107858346892 0.0249107960451834  0.336491027168649;
1527252288533666064;   4.36209743199005   0.441433371640309     14.921558669874    2.62091129820191   0.243667733554299 0.00414997476392357     7.4755533808013     1.1721926277443    42.0928429960499;0.0706933591002206 0.0706933731821102 0.0604604026223372 0.0527574914066041 0.0527574819702421 0.0565771961483091 0.0249410683157445 0.0249410785027947  0.339161148967123;
1527252288634836102;   4.33905183775172   0.450403656070991    14.9249150998735    2.62133118779646   0.242085371804064 0.00352264231763162    7.48604563228794     1.1728224202402    42.0967170383426;0.0727110715538703 0.0727110875550058 0.0643408825806801 0.0514157500115091 0.0514157450434128 0.0534918771144427 0.0249087295038883 0.0249087396382559  0.334721573379514;
1527252288736136717;  4.29648497699257   0.45695733350582   14.9260880102589   2.62296734778697  0.240068696666516 0.0020367537293349   7.49103424736894   1.17303950345682   42.0985103723015;0.0757164910494703 0.0757165079723728 0.0683718205801901 0.0527537456653814 0.0527537362659988 0.0565339657565909 0.0249459613755688 0.0249459714810899  0.337601265396942;
1527252288837096602;    4.20443926829403    0.445207976600577     14.9437427373534     2.62405260797671    0.239887455360781 0.000580266413325197     7.50307289149649     1.17579227142967     42.0955460620058;0.0636351094230759 0.0636351208263087 0.0501897907712566 0.0527574908211247 0.0527574813847706 0.0565771637544793 0.0246784978955612 0.0246785082789555  0.338146973707747;
1527252288938548592;     4.16928001364907     0.451639135893595       14.948895574084      2.62473066064106     0.237004028949962 -0.000559183820112991      7.50952015491437       1.1760684778078      42.0969796265809;0.0668917811253749 0.0668917933014208 0.0542758217502529 0.0527575016361823 0.0527574921996529 0.0565777804002417 0.0247033842045438 0.0247033945688361  0.340641554836302;
1527252289039966894;    4.15736850936286    0.456894299821687     14.9490877226798     2.62781392958929    0.234537891556771 -0.00253054261491885      7.5200665448624     1.17627467503327     42.0997031799116;0.0691064825439555 0.0691064965364764 0.0582015173546619 0.0514157500186574 0.0514157450505609 0.0534918793370472 0.0246605765743931 0.0246605868935913  0.335866214938052;
1527252289131277255;    4.11221435993316    0.444330045654063     14.9555716428886     2.63207113867289    0.233385715857265 -0.00367940414676693     7.52871316175061     1.17874191302596     42.0988372388367;0.0594648487228174 0.0594648585338703 0.0453314917042381 0.0527537454911196 0.0527537360917395 0.0565339538790118 0.0244419323015307 0.0244419428590799  0.336928615378216;
1527252289232508045;    4.08689878120514    0.447660380356362     14.9543479754918     2.63150870227401    0.234282327400919 -0.00346048246848754     7.53449313823096     1.17885362585561     42.0996702813667;0.0628247317176754  0.062824742148153 0.0494316812405774  0.052745601229268 0.0527455919978759  0.056557596524184 0.0244618381623947  0.024461848696658  0.339387590498429;
1527252289333992288;    4.09320914786739     0.44757119101997     14.9508590287243     2.65320290300941    0.219523073044508 -0.00174068673912347     7.54724350854658     1.17899648391313      42.100965119742;0.0652650685863733 0.0652650811230541  0.053391680919686 0.0514674062502771 0.0514674133949495 0.0535822703417879 0.0244110084687078 0.0244110189935495  0.334690315387516;
1527252289435248194;     4.08427456951473     0.444327147638854      14.9518121865074      2.65434512518403     0.222062686328306 -9.73758885166029e-05      7.55382509556206      1.17909163434376      42.1015511505237;0.0684800559079023 0.0684800696639402  0.057464589539459 0.0528515403554662 0.0528515538808521 0.0566935014523346 0.0244391843668906 0.0244391948821539  0.337440190049266;
1527252289536753539;   4.07553944361738   0.438268492824921    14.9546110623167    2.65577354739122   0.221098707296059 0.00359283514413587    7.55942678792565    1.17912305326156    42.1018805680518;0.0715984485695608 0.0715984636468626 0.0615219617573896 0.0528556839022587 0.0528556974844716 0.0567397043035183  0.024469462443734 0.0244694729466032  0.340106929066789;
1527252289638100589;   4.08871775500875    0.43266482301498    14.9578878829156    2.65760406468315   0.220340981143048 0.00791949021499481    7.57004003784558    1.17928112674503    42.1024236913323;0.0735397804881716  0.073539798037835 0.0653853649812158 0.0514674912757504 0.0514674984388658 0.0535829986921753 0.0244372067759512 0.0244372172454878  0.335664605033868;
1527252289739470909; 4.07997921245613 0.423824934031863  14.9601807651919  2.65899041126401 0.221110593457701 0.010826371436476  7.57474606648842  1.17938804537997  42.1024100887242;0.0765092241043736 0.0765092430384586   0.06940931654296  0.052851540616465 0.0528515541419099 0.0566935128169481 0.0244745179858849 0.0244745284350119  0.338544740964638;
1527252289840766908;  3.97183685892874  0.479098779951487   14.9543018139765   2.65723911341284  0.220850114464535 0.0104798156874152   7.59206473691155   1.17072166439166   42.1053957379796;0.0641029014923753 0.0641029145099055 0.0506579520121331  0.052855683231521 0.0528556968137215 0.0567396689840428 0.0242374504604942 0.0242374611914651  0.339208858613266;
