KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1527250345013545036;  1.61923994567053 0.0703457130380865 0.0127896010991532;  20.9759171000355 -0.472884064555507   58.8456029716063;
1527250345093549013;  1.61984745369282 0.0709302594061115 0.0175494901854052;   21.103611795748 -0.463764590144348   58.8468411267088;
1527250345173557043;  1.62160908091502 0.0743467368290107 0.0198098840551651; 20.8079701652433 -0.48776979070891  58.8482863722723;
1527250345253559828;  1.61948163680743 0.0769156833527405 0.0215506136884625;  20.4505918543316 -0.525582134314728   58.8491868627071;
1527250345333572865;  1.62297183342307 0.0772310823192524 0.0220408729754441;  20.5784855051314 -0.514819345574409   58.8508398267614;
1527250345423573017;  1.63594552897731 0.0669867853636885 0.0213128374119341;  20.3516297860536 -0.622403689274661   58.8538841956246;
1527250345503582001;  1.63883976220373 0.0638875724204326 0.0192893467299291;  20.4813232711214 -0.613003535122555   58.8553867213932;
1527250345583586931;  1.64075384064801 0.0618073669610223 0.0157737016652173;   20.177216903901 -0.638330839614306   58.8666938529271;
1527250345673594952;  1.64489619210651 0.0597782101050151 0.0126602448690528;  19.9013706327832 -0.663554113304237    58.857864649851;
1527250345743603945;   1.64690490171017  0.0620089090896429 0.00657116735605237;  20.0168006165795 -0.657681395638582   58.8585122687765;
1527250345793604851;   1.64911600980238  0.0620484341094816 0.00445812472077004;  19.6094131718409 -0.693933265265226   58.8588151011832;
1527250345873613834;     1.65180700140529    0.0604823641842019 -0.000997322361155149;  19.319146493595 -0.72337694990468  58.8489958799392;
1527250345973621845;    1.65336883204726   0.0579288546474829 -0.00653292073427117;  19.4864383438751 -0.719380848418881   58.8486695051062;
1527250346023625851;   1.65445087746953  0.0586154995336912 -0.0100947720073932;  19.1360120204107 -0.752064001619192   58.8482868241116;
1527250346103629827;  1.65527489455941 0.0569665369779718 -0.013262722823565;  19.2705911889042 -0.750782907060779   58.8473741778555;
1527250346193639994;   1.65489563106376  0.0583660524919176 -0.0175367601696127;  18.9879070052531 -0.778676070988679   58.8560005967347;
1527250346263638973;    1.6581233020294  0.0564874838294656 -0.0202517617165637;  18.6128549450763 -0.831218966537696   58.8550454606006;
1527250346333644867;   1.65971168067269  0.0590887713062565 -0.0212334710628446;  18.7308666661002 -0.831571894899608   58.8536658251533;
1527250346423651934;   1.66966026387491  0.0498335723344296 -0.0213638910578548;  18.4864426147178 -0.925717677537334   58.8470915439071;
1527250346483659029;  1.66852157539463 0.0510577427459898 -0.019876159201261;  18.5875391373167 -0.926414988119528   58.8458691300344;
1527250346573667049;  1.66666911130814 0.0533011061866135 -0.016561222704057;  18.3819714944063 -0.949440094355799   58.8441932283562;
1527250346653669834;   1.66388836965098  0.0579584863620594 -0.0139898180859265;  18.5155195831108 -0.948903594209519   58.8429559131914;
1527250346703673840;    1.66353501983946   0.0594272197095607 -0.00997906473254454;  18.164042668247 -0.97065862748416  58.8423240055455;
1527250346793685913;    1.66155736739745   0.0648244608688525 -0.00593441601869832;  17.8895719817282 -0.990458229441038   58.8415136228885;
1527250346843688011;    1.66175234771339   0.0670030439166588 -0.00334258274054392;  17.9720676996948 -0.988111840791209   58.8412596156732;
1527250346913687944;   1.66148723700773  0.0679674974665872 0.00176846922759715;  17.663669742487 -1.00644241297218  58.8411745792581;
1527250346973700047;   1.66028788769433   0.074355145506922 0.00469697421390475; 17.7620770784605 -1.00173838641987   58.841342863989;
1527250347023696899;   1.66021636857908  0.0751593348511293 0.00762650329390068;  17.420482324838 -1.01410498448789  58.8416380733497;
1527250347113710880;  1.65959899457839  0.079658906882673 0.0127306941020469; 17.5674360702936 -1.00436966104763  58.8425603096924;
1527250347183712006;  1.66066361436059 0.0822597566994781 0.0164073073143917; 17.2584378293592 -1.01261363788229  58.8435825873395;
1527250347263721943;  1.65973912398708 0.0833952774584862 0.0203314247968986; 16.9846512642032 -1.03360194939414  58.8539754842048;
1527250347343724966;  1.66296402943495  0.086730544353961 0.0222504540030116;  17.115735690121 -1.02159964341274  58.8556095550846;
1527250347443729877;  1.67333513999664 0.0795422399891904 0.0222684720664996;16.8944450955777 -1.0596175675376 58.8607315214384;
1527250347503733873;  1.67409728100922 0.0809553809390146 0.0208604801861535; 16.9939920337667 -1.05039420889065  58.8620191170156;
1527250347593741894;  1.67606752560777 0.0805828739210687 0.0184434392207085; 16.6651815604257 -1.04818698849405  58.8637986251993;
1527250347643751860;  1.67940012207304 0.0788600794123424 0.0170884948143443; 16.3479491813592 -1.04657894848435   58.864659692816;
1527250347733757973;  1.68027152339441 0.0784500029975148 0.0127997929860467; 16.4996933576831 -1.03454021004149  58.8659287492583;
1527250347793758869;   1.68339616491358  0.0782345182360557 0.00820089994652914;16.1334992293427 -1.0388518455867  58.866524439583;
1527250347863768816;  1.68151446120135 0.0750936398756057 0.0038877320357616; 16.2524330180219 -1.03171970838352  58.8669265119133;
1527250347943770885;     1.6856777303092   0.0729937625781237 -0.00100227662311821; 15.9878461120962 -1.03665097954363  58.8670212649624;
1527250348033774853;     1.6860316225664   0.0710085732071802 -0.00670123672818919; 16.1417392006282 -1.03157602141403  58.8666562340477;
1527250348123786926;   1.68579393925038  0.0694649517422231 -0.0119422685113482; 15.9616238120005 -1.03451272829176  58.8658418094624;
1527250348163786888;   1.68522663014587   0.069003448285445 -0.0138172763875361; 15.7069620317043 -1.03960508084058  58.8753599209303;
1527250348253796816;   1.68595239080172  0.0683489263927568 -0.0165668975135715; 15.8658067757867 -1.04821094285326  58.8747776564946;
1527250348343801022;   1.68662764304301  0.0684215002918057 -0.0195253330363168; 15.5737994663668 -1.05510744907087  58.8631978062695;
1527250348403803825;   1.69498848725638    0.05983113719179 -0.0212145714201111; 15.2932450547209 -1.06475417306082  58.8577951369382;
1527250348483809948;   1.69362885276526  0.0625739316232349 -0.0204246396543784; 15.4295259934289 -1.06671908224191  58.8561821825167;
1527250348583817959;   1.69397629922531  0.0647917310670971 -0.0177541995186919; 15.1536121981337 -1.07401596873747  58.8642675232093;
1527250348633823872;   1.69020285335977  0.0669312483831045 -0.0156135434619086; 14.8704329898495 -1.07980690725781  58.8634029916096;
1527250348713830948;  1.69048186393068 0.0730100939212299  -0.01153583971592;15.0052030056581 -1.0788499280495 58.8622285784458;
